Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0092226,-0.00011073,0.031938,0,0,0,0.42711,0.00016369,-1.1862E-09,7.6942E-07,0.00032482,-5.9479E-08,0.00046238,0,0,0,0,0,0,package://jetspider_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/base_link.STL,,jetspider.stp-1/body_link.stp-1,bady_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_center_LF,0.062709,0.062661,-0.028897,0,0,0,0.070703,1.7308E-05,-1.2638E-06,6.0336E-07,1.7297E-05,5.989E-07,1.2747E-05,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LF.STL,,jetspider.stp-1/coxa_LF.stp-1;jetspider.stp-1/femur_LF.stp-1;jetspider.stp-1/tibla_LF.stp-1,leg_center_LF,基准轴2,leg_center_LF_joint,fixed,0.10463,0.050629,0.016552,0,0,0,base_link,0,0,0,1,1,-1,1,,,,,,,,
coxa_LF,0.020827,-0.00060216,0.00091868,0,0,0,0.008009,1.7808E-06,-5.4871E-12,3.0202E-10,2.056E-06,2.821E-11,1.9917E-06,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LF.STL,,jetspider.stp-1/coxa_LF.stp-1,coxa_LF,基准轴2,coxa_LF_joint,revolute,0,0,0,-0.0010803,-0.0010787,0.78612,leg_center_LF,0.0010787,-0.0010802,1,1,1,-2.2,0.5,,,,,,,,
femur_LF,0.027409,0.0020759,-0.00032968,0,0,0,0.030408,4.5672E-06,-7.3482E-07,-2.4696E-09,6.7055E-06,3.7044E-09,6.8684E-06,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LF.STL,,jetspider.stp-1/femur_LF.stp-1,femur_LF,基准轴8,femur_LF,revolute,0.045042,-0.00052682,0.0011277,-1.5708,0.0010787,0,coxa_LF,0,0,1,1,1,-1.75,1.75,,,,,,,,
tibla_LF,0.034520599139345,-0.00436773919553068,0.000431221313703826,0,0,0,0.0322859353853485,4.05019253948108E-06,1.14495771847975E-07,5.12974765521424E-10,9.69065547605506E-06,1.81843843533494E-09,9.64190279112211E-06,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LF.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LF.STL,,jetspider.stp-1/tibla_LF.stp-1,tibla_LF,基准轴1,tibla_LF_joint,revolute,0.071317,0.029326,0.00086661,0.00046199,-0.0012097,1.5707,femur_LF,0,0,1,0,0,0,-1.35,,,,,,,,
end_LF,-0.080668,0.0053663,-0.00074274,0,0,0,0.032286,4.0502E-06,1.145E-07,5.1297E-10,9.6907E-06,1.8184E-09,9.6419E-06,0,0,0,0,0,0,package://jetspider_description/meshes/end_LF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/end_LF.STL,,jetspider.stp-1/tibla_LF.stp-1,end_LF,,end_LF_joint,fixed,0.11519,-0.0097341,0.001174,0,0,0,tibla_LF,0,0,0,,,,,,,,,,,,
leg_center_LM,6.65269913181575E-05,0.0886496710595015,-0.0288978208479567,0,0,0,0.0707022741582011,1.85656991867687E-05,4.04907522436712E-09,-2.54227617889255E-09,1.60385167746349E-05,8.50107844124889E-07,1.27465438244877E-05,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/leg_center_LM.STL,,jetspider.stp-1/tibla_LM.stp-1;jetspider.stp-1/coxa_LM.stp-1;jetspider.stp-1/femur_LM.stp-1,leg_center_LM,基准轴3,leg_center_LM,revolute,0.011327,0.073537,0.016552,0,-0.001086,0.00072249,base_link,-0.0010859,0,-1,1,1,-1,1,,,,,,,,
coxa_LM,0.0208230984511352,-0.000587340955009638,0.000941936217372069,0,0,0,0.0080084972594454,1.78065618437487E-06,1.97158402707407E-10,6.15894218812535E-11,2.05537898024426E-06,-5.32412067994362E-11,1.99086112412171E-06,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/coxa_LM.STL,,jetspider.stp-1/coxa_LM.stp-1,coxa_LM,基准轴3,coxa_LM,revolute,0,0,0,0.001086,0,1.5701,leg_center_LM,0,0,-1,1,1,-2.2,0.5,,,,,,,,
femur_LM,0.027409400026429,0.00207603562453806,-0.000429710637778516,0,0,0,0.0304078173134494,4.5672261031924E-06,-7.34819329535325E-07,-2.46531835663522E-09,6.70545397477438E-06,3.70562158366224E-09,6.86841433496768E-06,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jetspider_description/meshes/femur_LM.STL,,jetspider.stp-1/femur_LM.stp-1,femur_LM,基准轴9,femur_LM_joint,revolute,0.045042,-0.00039312,0.0011769,-1.5719,0,0.00072249,coxa_LM,0,0,-1,1,1,-1.75,1.75,,,,,,,,
tibla_LM,0.034523,-0.0043709,-0.0028527,0,0,0,0.032286,4.0502E-06,1.1523E-07,-2.0521E-10,9.6906E-06,1.8348E-09,9.6419E-06,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LM.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://jetspider_description/meshes/tibla_LM.STL,,jetspider.stp-1/tibla_LM.stp-1,tibla_LM,基准轴14,tibla_LM_joint,revolute,0.07132,0.02932,0.0040547,0.00039899,-0.0010859,1.5708,femur_LM,0,0,-1,1,1,-1.75,1.35,,,,,,,,
